,Unnamed: 0,userid,board_size,condition,board_type,solved_correct,validated_correct,time_solution,time_validation,actions_solution,actions_validation,time,AssignmentId,WorkerId,bonus,board_name
93,93,55a59255,6,full,easy,FALSE,FALSE,74141,12668,11,0,1.55449E+12,37ZHEEHM6XTGJQ1DPQ12Z3ZL6NY730,A239EUWY6SNDEZ,0,6_full_easy
94,94,2ac591b0,10,pruned,easy,FALSE,FALSE,178110,92394,18,0,1.55449E+12,3OS46CRSLG6HRZPRQQ2GCKR82V36VR,A1DDBGQDMZZ1VW,0,10_pruned_easy
95,95,37d59204,10,pruned,hard,FALSE,FALSE,179671,35731,18,0,1.55449E+12,39RP059MEI047OCD8PIX04UNP49BM9,A27CB6JIC5MZFR,0,10_pruned_hard
96,96,b2f58fbd,10,full,hard,FALSE,FALSE,357460,124331,33,0,1.55449E+12,32RIADZISTBNKK49D74W4ZNN7174S5,A327B4TX5I7VUS,0,10_full_hard
97,97,dae59162,10,full,medium,TRUE,TRUE,434579,37179,74,4,1.55449E+12,3N1FSUEFL67HIVLRGH97901N6XID43,A2GTJ0BD4CG1A2,0,10_full_medium
98,98,e1f593de,10,pruned,medium,TRUE,TRUE,128367,44576,2,3,1.55449E+12,3RWE2M8QWIH95JU3MA08T2N43PD0N1,AO7H4R6FJ7LC1,0,10_pruned_medium
99,99,46d5945f,6,full,easy,TRUE,TRUE,245260,28346,10,4,1.55449E+12,3II4UPYCOKEO708PEEGKC32S2P9DQU,A3DKYNYN50FYFY,0,6_full_easy
100,100,9fa593df,10,pruned,easy,FALSE,FALSE,133465,725994,11,0,1.55449E+12,3HUTX6F6VVUYJEXT2C4ZRFGOQYA2OC,A23QEQYCRJS9NI,0,10_pruned_easy
101,101,a8b597cd,6,full,easy,TRUE,TRUE,99131,19854,15,4,1.55449E+12,3GGAI1SQEW5NHT4JMPESBO057PBCMJ,A1GPZ5REMDQZ0L,0,6_full_easy
102,102,86f596b5,10,pruned,hard,FALSE,FALSE,78344,66725,2,0,1.55449E+12,3DI28L7YXBL5I228PU1PHKC5UQV1EV,A3AO6M3YRN6PVV,0,10_pruned_hard
103,103,dbc59105,10,full,hard,FALSE,FALSE,528827,16805,130,0,1.55449E+12,3SB5N7Y3O4B3VRDHZ6ND3IE72DPG07,A3L2FPKRD46FRW,0,10_full_hard
104,104,a9d5979e,6,full,easy,FALSE,FALSE,352625,56859,49,0,1.55449E+12,3DEL4X4EL7SBE84SWOYQJW8MHHDXYW,A1YBJN6WT3X8B5,0,6_full_easy
105,105,3dc59c17,10,full,easy,FALSE,FALSE,354540,13537,100,0,1.55449E+12,3UN61F00HXWTFO8WCNN1JHO5LVO5RS,A2HHK2B1GUH9GX,0,10_full_easy
106,106,e2b59d5d,6,pruned,easy,TRUE,FALSE,40698,23776,4,3,1.55449E+12,3018Q3ZVOJXQLUKD7JEIRS4RD85ARH,A2BBDH8DZD77AU,0,6_pruned_easy
