,userid,player,missed_win,board,fitted_heuristic,correct
352,daefd33a,2.0,1.0,6_hard_pruned,density,0
353,daf74d3f,1.0,0.0,10_easy_full,blocking,1
354,dbe71b15,1.0,0.0,6_hard_full,interaction,0
355,dbe71b15,2.0,0.666666666667,6_hard_full,interaction,0
356,dcc4f10e,1.0,0.25,6_hard_full,density,0
357,dcc4f10e,2.0,0.75,6_hard_full,density,0
358,dcfbe5af,1.0,0.5,6_easy_pruned,non-linear,1
359,dcfbe5af,2.0,1.0,6_easy_pruned,non-linear,1
360,ddb7456a,1.0,0.0,6_easy_pruned,density,1
361,ddb7456a,2.0,1.0,6_easy_pruned,density,1
362,dfa705b9,1.0,0.2,6_easy_pruned,density,1
363,dfa705b9,2.0,1.0,6_easy_pruned,density,1
364,dfcbf407,1.0,0.5,6_hard_full,blocking,0
365,dfcbf407,2.0,1.0,6_hard_full,blocking,0
366,dfe6bee3,1.0,0.5,6_hard_full,non-linear,0
367,dfe6bee3,2.0,0.111111111111,6_hard_full,non-linear,0
368,e0a10efa,1.0,0.0,10_medium_full,interaction,0
369,e1b100ae,1.0,0.4,6_easy_pruned,blocking,1
370,e1b100ae,2.0,0.8,6_easy_pruned,blocking,1
371,e1e500d7,1.0,0.0,6_hard_pruned,blocking,1
372,e2b10de5,1.0,0.333333333333,10_hard_pruned,blocking,1
373,e2b10de5,2.0,0.857142857143,10_hard_pruned,blocking,1
374,e5b69f84,1.0,0.0,10_medium_full,blocking,0
375,e6abcdb2,1.0,0.0,10_easy_full,interaction,1
376,e6abcdb2,2.0,1.0,10_easy_full,interaction,1
377,e6efec72,1.0,0.75,10_hard_pruned,blocking,0
378,e6efec72,2.0,0.571428571429,10_hard_pruned,blocking,0
379,e9b10766,1.0,0.0,10_medium_pruned,interaction,1
380,e9b10766,2.0,1.0,10_medium_pruned,interaction,1
381,e9bbf006,1.0,0.4,10_easy_full,blocking,0
382,e9bbf006,2.0,0.714285714286,10_easy_full,blocking,0
383,e9dbbf8a,1.0,0.0,6_hard_pruned,density,0
384,e9dbbf8a,2.0,0.666666666667,6_hard_pruned,density,0
385,eaaff660,1.0,0.333333333333,10_medium_full,blocking,0
386,ecefd3a0,1.0,0.833333333333,10_medium_pruned,blocking,0
387,ecefd3a0,2.0,1.0,10_medium_pruned,blocking,0
388,edbbcb60,1.0,0.666666666667,6_easy_pruned,density,0
389,edbbcb60,2.0,0.75,6_easy_pruned,density,0
390,edfff93e,1.0,0.0,10_hard_pruned,blocking,0
391,edfff93e,2.0,0.0,10_hard_pruned,blocking,0
392,eec719ce,1.0,0.0,10_easy_pruned,blocking,1
393,eec719ce,2.0,1.0,10_easy_pruned,blocking,1
394,eec7360c,1.0,0.0,6_hard_full,interaction,0
395,eec7360c,2.0,1.0,6_hard_full,interaction,0
396,eefbf52d,1.0,0.0,10_medium_pruned,interaction,1
397,eefbf52d,2.0,1.0,10_medium_pruned,interaction,1
398,efa7383d,1.0,1.0,6_easy_full,density,0
399,efa7383d,2.0,0.6,6_easy_full,density,0
400,efd4fa4a,1.0,0.0,10_hard_pruned,blocking,0
401,efd4fa4a,2.0,1.0,10_hard_pruned,blocking,0
402,f1fbe0de,1.0,0.0,10_easy_full,blocking,0
403,f1fbe0de,2.0,1.0,10_easy_full,blocking,0
404,f3dbeb7e,1.0,0.5,6_hard_full,non-linear,0
405,f3dbeb7e,2.0,0.857142857143,6_hard_full,non-linear,0
406,f4c4f33c,1.0,0.4,10_hard_pruned,blocking,0
407,f4c4f33c,2.0,0.0,10_hard_pruned,blocking,0
408,f8e11654,1.0,0.0,10_medium_full,blocking,1
409,f8e11654,2.0,1.0,10_medium_full,blocking,1
410,f8efd664,1.0,0.0,10_easy_pruned,blocking,1
411,f9c123d7,1.0,0.0,6_easy_full,blocking,1
412,fac10d6e,1.0,0.333333333333,6_hard_full,linear,0
413,fac10d6e,2.0,0.909090909091,6_hard_full,linear,0
414,fcb764e3,1.0,0.333333333333,10_hard_pruned,blocking,1
415,fcb764e3,2.0,1.0,10_hard_pruned,blocking,1
416,fda4f169,1.0,0.0,6_easy_full,interaction,1
417,fdaa7ebb,1.0,0.5,6_hard_pruned,density,0
418,fdaa7ebb,2.0,0.941176470588,6_hard_pruned,density,0
419,fdc4f07b,1.0,0.0,10_easy_pruned,interaction,1
420,fdc4f07b,2.0,1.0,10_easy_pruned,interaction,1
