,board,heuristic,likelihoods_block,likelihoods_density,likelihoods_interaction,userid
297,6_easy_full,density,-3.84224699202,-2.77995507534,-3.22100453286,d3b525de
298,6_easy_full,blocking,-2.02159302092,-2.7043067573,-2.20687236665,d6b67ee1
299,6_easy_full,interaction,-2.69501245868,-2.69405579257,-2.64366142428,d6d500ab
300,6_easy_full,density,-3.49075173026,-2.80634444556,-3.39939920522,dabbe6bb
301,6_easy_full,density,-4.01234941082,-2.81476108295,-3.45456513541,efa7383d
302,6_easy_full,blocking,-1.09391886306,-2.4512850414,-1.4239782951,f9c123d7
303,6_easy_full,interaction,-2.09412572244,-2.69253035181,-1.80946681702,fda4f169
304,6_easy_pruned,blocking,-1.75161664292,-2.37560094076,-1.87734860125,11dfe866
305,6_easy_pruned,interaction,-0.35862152698,-2.48278939361,-0.268732351499,12ebbfd2
306,6_easy_pruned,blocking,-1.70122130767,-2.49189734452,-1.77785564792,16e512d0
307,6_easy_pruned,interaction,-2.08087832194,-2.66350597546,-2.04618720995,19a105e3
308,6_easy_pruned,blocking,-0.886596357977,-2.28104122653,-1.99640030504,1de715c7
309,6_easy_pruned,interaction,-0.739295982872,-2.48961160055,-0.701309256449,1fdbc072
